model,display,seed,task_idx,qid,em,f1,prompt_tokens,completion_tokens,cost_usd,turns
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,14,5a7b7ff75542995eb53be93d,0,0.8571,1366,130,0.0005984,2
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,15,5a7d19d85542995ed0d165e8,0,0.6667,501,60,0.0002244,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,16,5ae7ed17554299540e5a56a3,0,0.0,5516,322,0.0023352000000000004,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,17,5ab2659e554299340b5254b2,1,1.0,3777,384,0.0016644000000000001,4
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,18,5abd2eab5542992ac4f38210,1,1.0,3033,162,0.001278,3
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,19,5abaf3195542996cc5e49f2c,1,1.0,697,98,0.000318,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,20,5a791a97554299148911f9f2,0,0.6667,556,60,0.0002464,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,21,5adf58f15542993a75d264d2,0,0.0,850,59,0.0003636,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,22,5adc65e85542996e68525350,1,1.0,938,122,0.00042400000000000006,2
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,23,5a87ab9b5542996e4f3088c2,0,0.0,745,72,0.00032680000000000003,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,24,5a738fe855429908901be2fb,0,0.0,4440,579,0.0020076,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,25,5a8c65a1554299585d9e3680,1,1.0,727,96,0.00032920000000000003,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,26,5ac2bbd0554299218029db09,1,1.0,3904,220,0.0016496000000000002,4
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,27,5adf3e355542993a75d26440,0,0.5,1859,232,0.0008364000000000001,2
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,28,5ae82ae555429952e35eaa71,1,1.0,3050,114,0.0012656,2
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,29,5ac289ff5542996366519a02,1,1.0,6245,432,0.0026708,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,30,5a7a5b3a5542996c55b2dd71,0,0.0,6978,285,0.0029052,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,31,5ab8688b55429934fafe6daa,1,1.0,544,70,0.0002456,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,32,5a7a3a945542996a35c17147,1,1.0,4156,260,0.0017664,4
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,33,5ab9b29c554299743d22ebae,0,0.0,6493,379,0.0027488,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,34,5a8b63fa55429950cd6afcd7,1,1.0,589,63,0.0002608,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,35,5ade51b45542997c77adedf4,1,1.0,675,65,0.000296,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,36,5ae4c49a5542995dadf24400,0,0.6667,3544,233,0.0015108,4
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,37,5a7d3470554299452d57bb56,1,1.0,717,73,0.000316,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,38,5ae4f2c75542993aec5ec0fb,1,1.0,7918,457,0.0033500000000000005,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,39,5ab1d7ac554299449642c7e6,1,1.0,735,136,0.00034839999999999996,2
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,40,5a85cead5542991dd0999ea9,0,0.0,3869,217,0.0016344,3
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,41,5a73a7c755429978a71e9068,0,0.4,3276,271,0.0014188000000000002,3
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,42,5a7f113d55429934daa2fcbe,0,0.6667,2300,225,0.00101,3
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,43,5ae6828f5542996d980e7bb9,1,1.0,1811,141,0.0007808000000000001,2
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,44,5ab31864554299233954ff06,0,0.0,7223,440,0.0030652,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,45,5abe239355429976d4830a7d,1,1.0,2628,224,0.0011408,3
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,46,5ac2659b55429963665199a1,0,0.6667,913,85,0.00039920000000000005,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,47,5ae058e855429945ae959331,1,1.0,1493,174,0.0006668,2
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,48,5a7b8749554299294a54a9db,0,0.8,756,88,0.0003376,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,49,5a864ff7554299211dda2af2,1,1.0,803,113,0.0003664,1
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,0,5adef80b5542993a75d263c4,1,1.0,8096,333,0.00043144,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,1,5ae0aaf455429945ae959401,0,0.6667,1330,141,7.778e-05,2
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,2,5ab47d765542991751b4d78f,0,0.0,2793,286,0.00016253,5
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,3,5a7ed2c655429930675135e5,0,0.6667,8424,785,0.00048400000000000006,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,4,5ac3e0f7554299194317388b,1,1.0,6972,409,0.00038132000000000004,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,5,5a7bae20554299294a54aa96,0,0.0,7809,632,0.00044101000000000003,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,6,5ab8ee035542991b5579f04b,1,1.0,4720,229,0.00025432,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,7,5a7a276d5542996c55b2dd27,0,0.8571,1121,197,7.181e-05,2
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,8,5a717d4c5542994082a3e854,0,0.1176,5163,497,0.00029791,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,9,5ac02e31554299294b218f3f,1,1.0,1740,172,0.00010076,2
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,10,5a79ea435542996c55b2dc9e,0,0.75,843,73,4.7990000000000006e-05,1
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,11,5ab7e4dc5542995dae37e9df,0,0.0,8328,397,0.00044816,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,12,5a834ed95542990548d0b1ca,0,0.0,6534,408,0.00035934000000000004,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,13,5ab41d855542996a3a969f4b,1,1.0,592,45,3.32e-05,1
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,14,5a7b7ff75542995eb53be93d,0,0.8571,5406,218,0.00028774000000000003,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,15,5a7d19d85542995ed0d165e8,0,0.0,1821,184,0.00010577000000000001,3
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,16,5ae7ed17554299540e5a56a3,0,0.0,5297,245,0.00028445000000000006,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,17,5ab2659e554299340b5254b2,0,0.5,5493,412,0.00030761,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,18,5abd2eab5542992ac4f38210,1,1.0,1511,136,8.643e-05,2
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,19,5abaf3195542996cc5e49f2c,1,1.0,5726,509,0.00032701999999999997,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,20,5a791a97554299148911f9f2,0,0.6667,555,60,3.255e-05,1
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,21,5adf58f15542993a75d264d2,0,0.0,6386,369,0.00034882,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,22,5adc65e85542996e68525350,1,1.0,3147,234,0.00017607,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,23,5a87ab9b5542996e4f3088c2,0,0.0,4945,367,0.00027661,4
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,24,5a738fe855429908901be2fb,0,0.0,5125,402,0.00028841,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,25,5a8c65a1554299585d9e3680,1,1.0,728,66,4.168e-05,1
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,26,5ac2bbd0554299218029db09,1,1.0,1754,148,9.954000000000001e-05,2
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,27,5adf3e355542993a75d26440,1,1.0,763,65,4.335e-05,1
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,28,5ae82ae555429952e35eaa71,1,1.0,4642,275,0.0002541,3
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,29,5ac289ff5542996366519a02,0,0.0,6029,305,0.00032585,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,30,5a7a5b3a5542996c55b2dd71,1,1.0,4243,202,0.00022831000000000001,4
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,31,5ab8688b55429934fafe6daa,1,1.0,1140,115,6.62e-05,2
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,32,5a7a3a945542996a35c17147,1,1.0,3140,334,0.00018372,3
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,33,5ab9b29c554299743d22ebae,0,0.0,7161,277,0.00038021,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,34,5a8b63fa55429950cd6afcd7,0,0.0,589,88,3.6490000000000005e-05,1
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,35,5ade51b45542997c77adedf4,1,1.0,4935,356,0.00027523,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,36,5ae4c49a5542995dadf24400,0,0.6667,6772,284,0.00036132000000000004,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,37,5a7d3470554299452d57bb56,1,1.0,1796,130,0.00010020000000000002,2
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,38,5ae4f2c75542993aec5ec0fb,1,1.0,7640,399,0.00041392,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,39,5ab1d7ac554299449642c7e6,0,0.0,2512,224,0.00014352,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,40,5a85cead5542991dd0999ea9,0,0.0,5100,266,0.00027627999999999995,4
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,41,5a73a7c755429978a71e9068,0,0.4,884,86,5.1080000000000006e-05,1
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,42,5a7f113d55429934daa2fcbe,0,0.0,5278,351,0.00029198,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,43,5ae6828f5542996d980e7bb9,0,0.0,5283,453,0.00030039000000000004,5
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,44,5ab31864554299233954ff06,0,0.0,5784,389,0.00032031999999999997,5
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,45,5abe239355429976d4830a7d,0,0.0,5278,310,0.0002887,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,46,5ac2659b55429963665199a1,0,0.0,7789,465,0.00042665000000000004,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,47,5ae058e855429945ae959331,1,1.0,1489,177,8.861e-05,2
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,48,5a7b8749554299294a54a9db,0,0.0,6123,265,0.00032735,6
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0,49,5a864ff7554299211dda2af2,1,1.0,1811,132,0.00010111000000000001,2
mistralai/mistral-nemo,Mistral-Nemo,0,0,5adef80b5542993a75d263c4,1,1.0,5821,302,0.000119659,6
mistralai/mistral-nemo,Mistral-Nemo,0,1,5ae0aaf455429945ae959401,0,0.0,2135,162,4.5425e-05,3
mistralai/mistral-nemo,Mistral-Nemo,0,2,5ab47d765542991751b4d78f,0,0.0,412,74,1.0047999999999998e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,3,5a7ed2c655429930675135e5,0,0.0,890,86,1.949e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,4,5ac3e0f7554299194317388b,1,1.0,859,29,1.7191e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,5,5a7bae20554299294a54aa96,1,1.0,1560,92,3.24e-05,2
mistralai/mistral-nemo,Mistral-Nemo,0,6,5ab8ee035542991b5579f04b,0,0.0,633,48,1.3466999999999998e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,7,5a7a276d5542996c55b2dd27,0,0.8571,536,43,1.1474e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,8,5a717d4c5542994082a3e854,0,0.8,593,57,1.2977e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,9,5ac02e31554299294b218f3f,1,1.0,849,100,1.9131e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,10,5a79ea435542996c55b2dc9e,0,0.75,869,48,1.7951e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,11,5ab7e4dc5542995dae37e9df,1,1.0,1047,34,2.0913e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,12,5a834ed95542990548d0b1ca,0,0.6667,740,32,1.502e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,13,5ab41d855542996a3a969f4b,0,0.6667,608,55,1.3202e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,14,5a7b7ff75542995eb53be93d,0,0.8571,685,74,1.5234999999999999e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,15,5a7d19d85542995ed0d165e8,0,0.6667,531,42,1.1349000000000001e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,16,5ae7ed17554299540e5a56a3,0,0.0,6581,283,0.000133529,6
mistralai/mistral-nemo,Mistral-Nemo,0,17,5ab2659e554299340b5254b2,0,0.0,643,46,1.3597000000000002e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,18,5abd2eab5542992ac4f38210,1,1.0,682,39,1.4128000000000001e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,19,5abaf3195542996cc5e49f2c,0,0.0,2897,141,5.927299999999999e-05,3
mistralai/mistral-nemo,Mistral-Nemo,0,20,5a791a97554299148911f9f2,0,0.6667,568,37,1.1901999999999999e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,21,5adf58f15542993a75d264d2,0,0.0,884,45,1.8146000000000002e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,22,5adc65e85542996e68525350,1,1.0,2008,174,4.3372e-05,4
mistralai/mistral-nemo,Mistral-Nemo,0,23,5a87ab9b5542996e4f3088c2,0,0.0,728,42,1.5091999999999999e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,24,5a738fe855429908901be2fb,1,1.0,2104,148,4.4415999999999996e-05,3
mistralai/mistral-nemo,Mistral-Nemo,0,25,5a8c65a1554299585d9e3680,1,1.0,745,49,1.5625e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,26,5ac2bbd0554299218029db09,1,1.0,757,36,1.5463e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,27,5adf3e355542993a75d26440,0,0.5,1574,109,3.3176e-05,2
mistralai/mistral-nemo,Mistral-Nemo,0,28,5ae82ae555429952e35eaa71,1,1.0,1171,43,2.3539e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,29,5ac289ff5542996366519a02,0,0.0,5817,295,0.000119373,6
mistralai/mistral-nemo,Mistral-Nemo,0,30,5a7a5b3a5542996c55b2dd71,1,1.0,3063,132,6.2157e-05,3
mistralai/mistral-nemo,Mistral-Nemo,0,31,5ab8688b55429934fafe6daa,1,1.0,570,41,1.206e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,32,5a7a3a945542996a35c17147,1,1.0,7474,262,0.000149866,6
mistralai/mistral-nemo,Mistral-Nemo,0,33,5ab9b29c554299743d22ebae,0,0.2222,7819,318,0.000158101,6
mistralai/mistral-nemo,Mistral-Nemo,0,34,5a8b63fa55429950cd6afcd7,1,1.0,601,44,1.2739000000000001e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,35,5ade51b45542997c77adedf4,0,0.3333,722,72,1.5878e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,36,5ae4c49a5542995dadf24400,0,0.0,587,37,1.2263e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,37,5a7d3470554299452d57bb56,1,1.0,750,38,1.539e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,38,5ae4f2c75542993aec5ec0fb,1,1.0,6767,363,0.000139463,6
mistralai/mistral-nemo,Mistral-Nemo,0,39,5ab1d7ac554299449642c7e6,1,1.0,339,36,7.521e-06,1
mistralai/mistral-nemo,Mistral-Nemo,0,40,5a85cead5542991dd0999ea9,0,0.0,1193,55,2.4316999999999998e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,41,5a73a7c755429978a71e9068,0,0.0,7348,282,0.00014807200000000001,6
mistralai/mistral-nemo,Mistral-Nemo,0,42,5a7f113d55429934daa2fcbe,0,0.6667,564,43,1.2006e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,43,5ae6828f5542996d980e7bb9,0,0.0,4367,234,8.999299999999999e-05,4
mistralai/mistral-nemo,Mistral-Nemo,0,44,5ab31864554299233954ff06,0,0.0,617,61,1.3552999999999999e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,45,5abe239355429976d4830a7d,1,1.0,1752,110,3.6587999999999996e-05,2
mistralai/mistral-nemo,Mistral-Nemo,0,46,5ac2659b55429963665199a1,0,0.0,1015,58,2.1025e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,47,5ae058e855429945ae959331,1,1.0,1478,74,3.0302e-05,2
mistralai/mistral-nemo,Mistral-Nemo,0,48,5a7b8749554299294a54a9db,0,0.8,804,59,1.7046e-05,1
mistralai/mistral-nemo,Mistral-Nemo,0,49,5a864ff7554299211dda2af2,0,0.0,816,62,1.7364000000000002e-05,1
